ID	cancer	modality.P	branch	linear	punctuated	Predict
P3	Breastcancer	0	0.00229898376736128	7.34017125311715e-11	0.997701016159237	Punctuated
P4	Breastcancer	0	6.57909808477913e-07	1.04738742712059e-17	0.999999342090191	Punctuated
P8	Breastcancer	0	0.000847910443136377	9.57639950135111e-12	0.999152089547287	Punctuated
P9	Breastcancer	0	0.00996026287491528	1.59895779717151e-09	0.990039735526127	Punctuated
P10	Breastcancer	7.63406212535012e-05	0.00159020866134084	3.4411448244465e-11	0.998409791304248	Punctuated
P12	Breastcancer	0	0.221844238953211	2.32479618519582e-06	0.778153436250604	Punctuated
P13	Breastcancer	0.151043408144845	0.000172592379448899	4.01333816491759e-13	0.99982740762015	Neutral
P14	Breastcancer	0.0010276161506827	0.219575670513456	2.25900515818127e-06	0.780422070481386	Punctuated
P15	Breastcancer	0	0.190873720418373	1.53806850939133e-06	0.809124741513118	Punctuated
P16	Breastcancer	0.0041825731745132	0.672990172928325	0.000148126510648304	0.326861700561027	Branching
P17	Breastcancer	0	1.27648048220559e-05	2.6375774543934e-15	0.999987235195175	Punctuated
P18	Breastcancer	0	5.03181024957735e-07	6.40713130569817e-18	0.999999496818975	Punctuated
P20	Breastcancer	0	1.09725185295613e-05	1.9803026503719e-15	0.999989027481469	Punctuated
P21	Breastcancer	0	0.013284508142175	2.97408459354444e-09	0.98671548888374	Punctuated
P22	Breastcancer	0	0.00821648360769028	1.05950740094408e-09	0.991783515332802	Punctuated
P23	Breastcancer	0	0.0370889858786371	2.8777920918967e-08	0.962910985343442	Punctuated
P24	Breastcancer	0	0.000160592425297459	3.48340336366507e-13	0.999839407574354	Punctuated
P26	Breastcancer	0	0.0103409780905324	1.73299482802405e-09	0.989659020176473	Punctuated
P27	Breastcancer	0	0.00528776076286507	4.1644892675747e-10	0.994712238820686	Punctuated
P28	Breastcancer	1.16609767397691e-07	0.00302603241317199	1.29639278718347e-10	0.996973967457189	Punctuated
P29	Breastcancer	0.000409154199141337	0.909615130211062	0.00522698500211015	0.0851578847868278	Branching
P30	Breastcancer	0	5.40799702967643e-07	7.31149130127766e-18	0.999999459200297	Punctuated
P31	Breastcancer	0	2.01363347732979e-05	6.27542547244168e-15	0.99997986366522	Punctuated
P1028	Lungcancer	0	0.837088853927486	0.00100683520480118	0.161904310867713	Branching
P0031	Lungcancer	0	0.193612887992654	1.59852108385976e-06	0.806385513486262	Punctuated
P0019	Lungcancer	0	0.577257936088409	6.38970726855767e-05	0.422678166838906	Branching
P0020	Lungcancer	0.0017852011517091	0.909401238096125	0.00518636271528566	0.0854123991885889	Branching
P0034	Lungcancer	0	0.00134059863308402	2.42756104631138e-11	0.99865940134264	Punctuated
P0018	Lungcancer	0.105177230475749	0.739452536650489	0.000286750546205517	0.260260712803305	Neutral
P0030	Lungcancer	7.69157555202682e-06	0.00087874544211062	1.02936966644537e-11	0.999121254547596	Punctuated
P1006	Lungcancer	0.148874917208103	0.755491296814377	0.000341931089437141	0.244166772096186	Neutral
P0028	Lungcancer	0.100015668931141	0.804163813293356	0.000620914100690957	0.195215272605953	Neutral
P1058	Lungcancer	0	0.195532053667516	1.64186813348115e-06	0.804466304464351	Punctuated
P0009	Lungcancer	0	0.0235382158973631	1.0401304932945e-08	0.976461773701332	Punctuated
P0025	Lungcancer	0	0.000864044632302368	9.94839239445695e-12	0.999135955357749	Punctuated
P1049	Lungcancer	0	0.222010895819657	2.3296840484106e-06	0.777986774496294	Punctuated
P0006	Lungcancer	0	0.198676271808929	1.7146830025872e-06	0.801322013508069	Punctuated
P0008	Lungcancer	0	0.888944751301492	0.00281138011248013	0.108243868586028	Branching
C103_T	CRC	2.09880212401758e-05	0.000202113655657842	5.47657839028708e-13	0.999797886343795	Punctuated
C104_T	CRC	2.36401653634921e-05	1.03906484554926e-06	2.42784375905269e-17	0.999998960935154	Punctuated
C109_T	CRC	0	0.000387960833997417	1.99414315223049e-12	0.999612039164009	Punctuated
C111_T	CRC	0	4.42380166312156e-05	2.83712730493729e-14	0.99995576198334	Punctuated
C112_T	CRC	0.00753527277759392	0.039599985377372	3.33885001058216e-08	0.960399981234128	Punctuated
C115_T	CRC	0	2.360910602234e-06	1.10969238884832e-16	0.999997639089398	Punctuated
C116_T	CRC	0	1.01020418272809e-05	1.69366233854403e-15	0.999989897958171	Punctuated
C118_T	CRC	0	7.87922918990233e-06	1.05944065435147e-15	0.999992120770809	Punctuated
C122_T	CRC	0.000350021828997682	7.64834402938044e-07	1.38113214279774e-17	0.999999235165597	Punctuated
C123_T	CRC	0.0123911505726255	5.03900213585745e-06	4.57155289761064e-16	0.999994960997864	Punctuated
C135_T	CRC	0	2.7940428896716e-06	1.51832332047309e-16	0.99999720595711	Punctuated
C136_T	CRC	0.0479917916308747	0.0947469622901853	2.57923519576113e-07	0.905252779786295	Punctuated
C138_T	CRC	0	7.27215463822902e-07	1.25887280861565e-17	0.999999272784536	Punctuated
C143_T	CRC	0	3.13763657750356e-06	1.88479006293762e-16	0.999996862363422	Punctuated
C144_T	CRC	0	1.3414288239786e-06	3.89052527397215e-17	0.999998658571176	Punctuated
C146_T	CRC	0	3.12986588481881e-05	1.45873041468718e-14	0.999968701341137	Punctuated
C150_T	CRC	0.0277351823198064	0.0588524668823246	8.30865043722528e-08	0.941147450031171	Punctuated
C151_T	CRC	0	3.25313915855248e-05	1.57095137964349e-14	0.999967468608399	Punctuated
C152_T	CRC	0	9.30619659646485e-06	1.45037888128475e-15	0.999990693803402	Punctuated
C156_T	CRC	0	6.90508802200804e-07	1.14463177995336e-17	0.999999309491198	Punctuated
C158_T	CRC	0	0.0144683159055111	3.57888405414071e-09	0.985531680515605	Punctuated
C161_T	CRC	0	0.112944138746864	3.97118354419552e-07	0.887055464134782	Punctuated
C167_T	CRC	0	0.000247200461541556	8.15044172327248e-13	0.999752799537643	Punctuated
C168_T	CRC	0	1.98431242897996e-05	6.10233256766336e-15	0.999980156875704	Punctuated
C170_T	CRC	7.99853057276145e-06	5.78850852631767e-07	8.28173813268075e-18	0.999999421149147	Punctuated
C171_TA	CRC	0.150568994418207	0.0654091541396141	1.06399922771054e-07	0.934590739460463	Neutral
C171_TB	CRC	0.45442998525522	0.732150528820869	0.00026535272861776	0.267584118450513	Neutral
C172_T	CRC	0	2.61726150616988e-06	1.34431058615678e-16	0.999997382738494	Punctuated
C105	CRC	0.00432670276001812	0.0201863696973721	7.41063803996849e-09	0.97981362289199	Punctuated
C106	CRC	0.0025715156221604	1.12561370706252e-05	2.07831119752369e-15	0.999988743862927	Punctuated
C107	CRC	1.28611577671078e-05	1.57882027670391e-06	5.25937731082626e-17	0.999998421179723	Punctuated
C110	CRC	0	2.73984842144278e-06	1.46392275477612e-16	0.999997260151578	Punctuated
C113	CRC	0.231639370647227	0.00179072322671508	4.38948289958437e-11	0.99820927672939	Neutral
C114	CRC	7.92065581034507e-06	0.000297015991043314	1.17247515450012e-12	0.999702984007784	Punctuated
C119	CRC	0	1.46614286489916e-07	6.78978750795901e-19	0.999999853385714	Punctuated
C124	CRC	0.00895581522432698	0.00917633745552926	1.34146560684626e-09	0.990823661203005	Punctuated
C125	CRC	0	0.0127152604473743	2.70520238709012e-09	0.987284736847423	Punctuated
C126	CRC	0	6.67247139250055e-08	1.64102473928901e-19	0.999999933275286	Punctuated
C129	CRC	0.272163379784925	0.00242992292418356	8.22960201985549e-11	0.997570076993521	Neutral
C130	CRC	0.0355736305763795	6.02940732156934e-07	8.92460917550512e-18	0.999999397059268	Punctuated
C132	CRC	0	7.12397474679992e-07	1.21215255260744e-17	0.999999287602525	Punctuated
C133	CRC	0.000363975612240552	0.382315956462326	1.22937416846203e-05	0.617671749795989	Punctuated
C134	CRC	0	0.0103281690088555	1.72838878635505e-09	0.989671829262756	Punctuated
C137	CRC	0	1.85963903170946e-07	1.04459150141511e-18	0.999999814036097	Punctuated
C139	CRC	0.10367053602348	1.05374708592217e-08	6.09051486668882e-21	0.999999989462529	Neutral
C140	CRC	0.0103618038240714	0.0142678024463741	3.47206221939214e-09	0.985732194081564	Punctuated
C142	CRC	9.20679794769175e-06	0.00164995045757042	3.71110771566077e-11	0.998350049505319	Punctuated
C145	CRC	0.0211343529601231	0.0289623229975592	1.64981569562398e-08	0.971037660504284	Punctuated
C147	CRC	0.000712860250539293	9.04202854378748e-06	1.37360919695654e-15	0.999990957971455	Punctuated
C149	CRC	5.820938030765e-05	0.00150237788243335	3.06352324770169e-11	0.998497622086931	Punctuated
C153	CRC	0.254634831694071	0.006514432327345	6.46988840699278e-10	0.993485567025666	Neutral
C154	CRC	4.05806498375849e-05	1.62242249367922e-07	8.15665986693301e-19	0.999999837757751	Punctuated
C155	CRC	4.96157850889967e-05	0.00802794337344961	1.00836177112403e-09	0.991972055618189	Punctuated
C157	CRC	0.0114704830454415	0.919518922687545	0.00799867226253398	0.0724824050499208	Branching
C159	CRC	0	0.293876663534908	5.2712455905772e-06	0.706118065219501	Punctuated
C160	CRC	0.101570974883693	0.840303874893964	0.00106079789125106	0.158635327214785	Neutral
C162	CRC	2.30376867655924e-05	0.00359585665649571	1.85632965302224e-10	0.996404143157871	Punctuated
C163	CRC	0	1.36522569293823e-07	5.96777799396647e-19	0.999999863477431	Punctuated
C164	CRC	6.74499190362887e-05	1.3505521718359e-07	5.85225952618249e-19	0.999999864944783	Punctuated
C165	CRC	0	0.0357659097468605	2.65078482735393e-08	0.964234063745291	Punctuated
C166	CRC	0.585162973125145	0.312909242805571	6.39569495533679e-06	0.687084361499474	Neutral
C169	CRC	0	1.20522603568036e-05	2.36549582180375e-15	0.999987947739641	Punctuated
C173	CRC	0	3.83572117644853e-08	6.07879467806579e-20	0.999999961642788	Punctuated
SS_2005	ccRCC	0.0773090237759808	0.000255725038992316	8.71582977390357e-13	0.999744274960136	Neutral
SS_2022	ccRCC	0.245217356971483	0.705862415821695	0.000202984407220247	0.293934599771085	Neutral
SS_2007	ccRCC	0.290778825199351	0.00553398858188556	4.5836479211745e-10	0.99446601095975	Neutral
SS_2023	ccRCC	0.0841730198843746	0.0101163045623552	1.65317892931052e-09	0.989883693784466	Neutral
SS_2006	ccRCC	0	2.44977360638315e-05	9.12480378835328e-15	0.999975502263927	Punctuated
SS_2017	ccRCC	0.0474012211889997	0.000253626256972356	8.57485983521733e-13	0.99974637374217	Punctuated
SS_2026	ccRCC	0.00976637864311547	0.00809274176932186	1.0257843117093e-09	0.991907257204894	Punctuated
P76	ccRCC	0.065179095902404	0.00266356408278145	9.95043962764141e-11	0.997336435817714	Neutral
P90	ccRCC	0	0.928134480267192	0.020840704991295	0.0510248147415132	Branching
UT1	ccRCC	0	8.31195738608803e-05	9.61791762305419e-14	0.999916880426043	Punctuated
UT2	ccRCC	0.000797706546560528	0.727943171178329	0.000253925018010998	0.27180290380366	Branching
